source,tags_cleaned
future neurology,neurology
"accounting, auditing and accountability journal",accounting economics econometrics and finance  
journal of hospice and palliative nursing,advanced and specialized nursing community and home care 
plos one,agricultural and biological sciences  biochemistry genetics and molecular biology  medicine  
agriculture and food security,agronomy and crop science ecology food science 
statistical analysis and data mining,analysis computer science applications information systems 
brain structure and function,anatomy histology neuroscience  
human brain mapping,anatomy neurology neurology clinical radiological and ultrasound technology radiology nuclear medicine and imaging 
pain medicine,anesthesiology and pain medicine medicine  neurology clinical 
pain,anesthesiology and pain medicine neurology neurology clinical pharmacology 
field methods,anthropology 
cross-cultural research,anthropology arts and humanities  psychology  
nordic journal of music therapy,anthropology complementary and alternative medicine arts and humanities  psychiatric mental health 
integrative psychological and behavioral science,anthropology cultural studies philosophy social psychology applied psychology experimental and cognitive psychology neuropsychology and physiological psychology behavioral neuroscience 
journal of cross-cultural psychology,anthropology cultural studies social psychology 
educational and psychological measurement,applied mathematics applied psychology developmental and educational psychology education psychology  
applied psychology: health and well-being,applied psychology 
journal of counseling and development,applied psychology 
journal of health psychology,applied psychology 
group and organization management,applied psychology arts and humanities  organizational behavior and human resource management 
journal of interpersonal violence,applied psychology clinical psychology 
stress and health,applied psychology clinical psychology medicine  psychiatry and mental health 
"cyberpsychology, behavior, and social networking",applied psychology communication computer science applications human-computer interaction medicine  social psychology 
mindfulness,applied psychology developmental and educational psychology health social science social psychology experimental and cognitive psychology 
american journal of community psychology,applied psychology health social science public health environmental and occupational health social work 
journal of consumer psychology,applied psychology marketing 
journal of psychosocial oncology,applied psychology oncology psychiatry and mental health 
personnel psychology,applied psychology organizational behavior and human resource management 
journal of forensic psychology practice,applied psychology pathology and forensic medicine 
journal of applied sport psychology,applied psychology sports science 
cognitive science,artificial intelligence experimental and cognitive psychology cognitive neuroscience 
cognitive processing,artificial intelligence medicine  cognitive neuroscience experimental and cognitive psychology 
journal of business ethics,arts and humanities  business and international management business management and accounting  economics and econometrics law 
journal of clinical psychology,arts and humanities  clinical psychology 
journal of personality assessment,arts and humanities  clinical psychology health toxicology and mutagenesis 
cognitive neuropsychology,arts and humanities  cognitive neuroscience developmental and educational psychology experimental and cognitive psychology neuropsychology and physiological psychology 
visual cognition,arts and humanities  cognitive neuroscience experimental and cognitive psychology 
communications,arts and humanities  communication 
group processes and intergroup relations,arts and humanities  communication cultural studies social psychology sociology and political science 
public understanding of science,arts and humanities  communication developmental and educational psychology 
ethnicity and health,arts and humanities  cultural studies public health environmental and occupational health 
applied cognitive psychology,arts and humanities  developmental and educational psychology experimental and cognitive psychology 
cognition and emotion,arts and humanities  developmental and educational psychology experimental and cognitive psychology 
psychonomic bulletin and review,arts and humanities  developmental and educational psychology experimental and cognitive psychology 
psychological research,arts and humanities  developmental and educational psychology experimental and cognitive psychology medicine  
behavior research methods,arts and humanities  developmental and educational psychology experimental and cognitive psychology psychology  
psychology of women quarterly,arts and humanities  developmental and educational psychology gender studies psychology  
scandinavian journal of psychology,arts and humanities  developmental and educational psychology medicine  psychology  
memory and cognition,arts and humanities  experimental and cognitive psychology medicine  neuropsychology and physiological psychology 
behaviour and information technology,arts and humanities  human-computer interaction social sciences  developmental and educational psychology 
human relations,arts and humanities  management of technology and innovation social sciences  strategy and management 
international journal of psychology,arts and humanities  medicine  psychology  
experimental psychology,arts and humanities  medicine  psychology  experimental and cognitive psychology 
